Dataset 86
Run 0
0,left,50000,fit,4918,lates,202,expired,0,imbalance,140
1000,left,49999,fit,6829,lates,204,expired,3,imbalance,116
2000,left,49999,fit,7933,lates,351,expired,23,imbalance,262
3000,left,49999,fit,8042,lates,375,expired,28,imbalance,269
4000,left,49999,fit,8370,lates,383,expired,26,imbalance,337
5000,left,49999,fit,8279,lates,392,expired,32,imbalance,305
6000,left,49999,fit,8044,lates,385,expired,26,imbalance,272
7000,left,49999,fit,8400,lates,383,expired,30,imbalance,335
8000,left,49999,fit,8438,lates,411,expired,30,imbalance,337
9000,left,49999,fit,8361,lates,409,expired,31,imbalance,320
10000,left,49999,fit,8370,lates,428,expired,31,imbalance,318
11000,left,49999,fit,8412,lates,400,expired,37,imbalance,320
12000,left,49999,fit,8389,lates,407,expired,34,imbalance,320
13000,left,49999,fit,8409,lates,417,expired,44,imbalance,302
14000,left,49999,fit,8211,lates,439,expired,37,imbalance,272
15000,left,49999,fit,8300,lates,438,expired,39,imbalance,286
16000,left,49999,fit,8263,lates,426,expired,34,imbalance,291
17000,left,49999,fit,8242,lates,450,expired,36,imbalance,278
18000,left,49999,fit,8161,lates,434,expired,43,imbalance,251
19000,left,49999,fit,8109,lates,452,expired,38,imbalance,247
20000,left,49999,fit,8107,lates,445,expired,42,imbalance,240
21000,left,49999,fit,7949,lates,422,expired,38,imbalance,221
22000,left,49999,fit,7935,lates,436,expired,41,imbalance,210
23000,left,49999,fit,7926,lates,444,expired,48,imbalance,192
24000,left,49999,fit,7909,lates,442,expired,40,imbalance,205
25000,left,49999,fit,7869,lates,427,expired,33,imbalance,214
26000,left,49999,fit,7818,lates,431,expired,46,imbalance,177
27000,left,49999,fit,7855,lates,413,expired,48,imbalance,184
28000,left,49999,fit,7821,lates,434,expired,48,imbalance,173
29000,left,49999,fit,7812,lates,450,expired,50,imbalance,164
30000,left,49999,fit,7786,lates,449,expired,45,imbalance,169
31000,left,49999,fit,7722,lates,438,expired,45,imbalance,159
32000,left,49999,fit,7760,lates,451,expired,55,imbalance,144
33000,left,49999,fit,7665,lates,466,expired,49,imbalance,134
34000,left,49999,fit,7733,lates,439,expired,49,imbalance,156
35000,left,49999,fit,7717,lates,455,expired,55,imbalance,137
36000,left,49999,fit,7768,lates,459,expired,51,imbalance,152
37000,left,49999,fit,7697,lates,478,expired,55,imbalance,126
38000,left,49999,fit,7572,lates,467,expired,49,imbalance,120
39000,left,49999,fit,7775,lates,456,expired,57,imbalance,145
40000,left,49999,fit,7629,lates,477,expired,55,imbalance,118
41000,left,49999,fit,7684,lates,484,expired,53,imbalance,131
42000,left,49999,fit,7630,lates,487,expired,51,imbalance,123
43000,left,49999,fit,7640,lates,476,expired,58,imbalance,115
44000,left,49999,fit,7666,lates,496,expired,52,imbalance,124
45000,left,49999,fit,7634,lates,502,expired,51,imbalance,119
46000,left,49999,fit,7495,lates,489,expired,53,imbalance,94
47000,left,49999,fit,7751,lates,512,expired,58,imbalance,127
48000,left,49999,fit,7615,lates,504,expired,49,imbalance,120
49000,left,49999,fit,7460,lates,488,expired,47,imbalance,98
50000,left,49999,fit,7515,lates,506,expired,49,imbalance,102
51000,left,49999,fit,7491,lates,502,expired,51,imbalance,91
52000,left,49999,fit,7532,lates,507,expired,50,imbalance,102
53000,left,49999,fit,7472,lates,500,expired,50,imbalance,92
54000,left,49999,fit,7577,lates,505,expired,53,imbalance,103
55000,left,49999,fit,7514,lates,524,expired,56,imbalance,83
56000,left,49999,fit,7540,lates,512,expired,50,imbalance,102
