DataSet,665,Constraints,100,run,0,fit,2654,lates,16,expired,0,imbalance,6,low,9,med,505,high,1,Evals,190187
DataSet,665,Constraints,100,run,1,fit,2617,lates,14,expired,0,imbalance,18,low,7,med,490,high,0,Evals,209805
DataSet,665,Constraints,100,run,2,fit,2651,lates,15,expired,0,imbalance,8,low,6,med,500,high,3,Evals,166062
DataSet,665,Constraints,100,run,3,fit,2644,lates,15,expired,0,imbalance,8,low,9,med,504,high,0,Evals,191049
DataSet,665,Constraints,100,run,4,fit,2627,lates,11,expired,0,imbalance,15,low,7,med,496,high,1,Evals,250000
DataSet,665,Constraints,100,run,5,fit,2644,lates,14,expired,0,imbalance,12,low,9,med,497,high,2,Evals,177971
DataSet,665,Constraints,100,run,6,fit,2618,lates,12,expired,0,imbalance,18,low,8,med,492,high,0,Evals,250000
DataSet,665,Constraints,100,run,7,fit,2657,lates,17,expired,0,imbalance,18,low,7,med,493,high,1,Evals,184303
DataSet,665,Constraints,100,run,8,fit,2627,lates,14,expired,0,imbalance,6,low,7,med,502,high,1,Evals,250000
DataSet,665,Constraints,100,run,9,fit,2665,lates,15,expired,0,imbalance,8,low,10,med,504,high,2,Evals,185521
